CNTSCHID,n_stu,n_escs,w_sum,STRATUM_stu,REGION_stu,SUBNATIO_stu,escs_mean,math_mean,read_mean,scie_mean,CNT,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT,region_label,stratum_label,school_type,community,class_size,grupo_geo,sector_final,sector_fuente
03200001,33,32,356.11791187386893,ARG01,3201,320100,-1.1753009695151984,361.6057140335499,383.7303273379141,385.01190110789946,ARG,ARG01,320100,3201,5.0,52.0,48.0,9.0,1.0,3.1412732919,CABA,"CABA, Public",Public,Large city (1-10M),>50,CABA,Pública,Cuestionario directivo
03200002,24,21,2667.80832835106,ARG03,3200,320000,-1.0307324039636925,331.0659910307853,340.3334880440003,341.8064260263093,ARG,ARG03,320000,3200,3.0,54.0,46.0,9.0,1.0,28.573639886,Rest of Country,"24 Depts Buenos Aires, Public",Public,Town (15-100k),>50,Buenos Aires,Pública,Cuestionario directivo
03200003,30,29,438.0305768801225,ARG20,3203,320300,0.1298959988854065,440.39489309374295,473.1512287580355,475.109986627569,ARG,ARG20,320300,3203,4.0,47.0,53.0,9.0,2.0,3.434375,Mendoza,"Mendoza, Private",Private,City (100k-1M),>50,Resto del país,Privada,Cuestionario directivo
03200004,32,31,527.6199094402106,ARG02,3201,320100,0.0776399688031108,433.8270631104557,459.08813323933447,478.5382154593691,ARG,ARG02,320100,3201,5.0,40.0,60.0,6.0,2.0,9.1365854545,CABA,"CABA, Private",Private,Large city (1-10M),36-40,CABA,Privada,Cuestionario directivo
03200005,30,29,431.8921512831126,ARG20,3203,320300,0.2688535778801013,406.7042050727091,418.9498220099702,446.6687353528305,ARG,ARG20,320300,3203,,,,,,9.8125,Mendoza,"Mendoza, Private",No response,No response,No response,Resto del país,Privada,Estrato muestral (imputado)
03200006,11,11,484.4239163726048,ARG08,3202,320200,0.1209875655854617,465.3817637936401,490.7398131607978,506.3440046255287,ARG,ARG08,320200,3202,1.0,62.0,38.0,4.0,2.0,43.435485714,Cordoba,"Cordoba, Private",Private,Village/rural (<3k),26-30,Córdoba,Privada,Cuestionario directivo
03200007,26,23,3319.8706499785326,ARG03,3200,320000,-1.4640227261549896,348.8239613645173,375.5969304889589,377.4449819999949,ARG,ARG03,320000,3200,3.0,53.0,47.0,9.0,1.0,15.230289185,Rest of Country,"24 Depts Buenos Aires, Public",Public,Town (15-100k),>50,Buenos Aires,Pública,Cuestionario directivo
03200008,31,29,472.7015676110949,ARG07,3202,320200,-0.4122525676189914,389.6370002464517,429.08208858354845,436.92899221419367,ARG,ARG07,320200,3202,3.0,61.0,39.0,6.0,1.0,3.2528779279,Cordoba,"Cordoba, Public",Public,Town (15-100k),36-40,Córdoba,Pública,Cuestionario directivo
03200009,28,16,469.5979624611457,ARG01,3201,320100,-1.554511536700785,278.2115071326324,293.1981185317759,302.28081027675915,ARG,ARG01,320100,3201,5.0,60.0,40.0,3.0,1.0,14.048472222,CABA,"CABA, Public",Public,Large city (1-10M),21-25,CABA,Pública,Cuestionario directivo
03200010,28,28,4257.244626304245,ARG05,3200,320000,-0.4954318801600376,299.69318894539515,350.25770577249875,288.1432939266486,ARG,ARG05,320000,3200,4.0,48.0,52.0,9.0,1.0,59.906214795,Rest of Country,"Rest of Buenos Aires, Public",Public,City (100k-1M),>50,Buenos Aires,Pública,Cuestionario directivo
