CNT,CNTSCHID,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT
ARG,03200001,ARG01,0320100,03201,5.0,52.0,48.0,9.0,1.0,3.1412732919
ARG,03200002,ARG03,0320000,03200,3.0,54.0,46.0,9.0,1.0,28.573639886
ARG,03200003,ARG20,0320300,03203,4.0,47.0,53.0,9.0,2.0,3.434375
ARG,03200004,ARG02,0320100,03201,5.0,40.0,60.0,6.0,2.0,9.1365854545
ARG,03200005,ARG20,0320300,03203,,,,,,9.8125
ARG,03200006,ARG08,0320200,03202,1.0,62.0,38.0,4.0,2.0,43.435485714
ARG,03200007,ARG03,0320000,03200,3.0,53.0,47.0,9.0,1.0,15.230289185
ARG,03200008,ARG07,0320200,03202,3.0,61.0,39.0,6.0,1.0,3.2528779279
ARG,03200009,ARG01,0320100,03201,5.0,60.0,40.0,3.0,1.0,14.048472222
ARG,03200010,ARG05,0320000,03200,4.0,48.0,52.0,9.0,1.0,59.906214795
ARG,03200011,ARG11,0320000,03200,3.0,40.0,60.0,9.0,1.0,83.824488571
ARG,03200012,ARG07,0320200,03202,3.0,52.0,48.0,9.0,1.0,5.7312611111
ARG,03200013,ARG05,0320000,03200,3.0,59.0,41.0,4.0,1.0,40.787210073
ARG,03200014,ARG19,0320300,03203,1.0,48.0,52.0,3.0,1.0,4.2330546392
ARG,03200015,ARG01,0320100,03201,5.0,69.0,31.0,3.0,1.0,4.3598706897
ARG,03200016,ARG18,0320000,03200,3.0,51.0,49.0,7.0,2.0,75.555357143
ARG,03200017,ARG19,0320300,03203,2.0,51.0,49.0,7.0,1.0,8.5542979167
ARG,03200018,ARG08,0320200,03202,2.0,46.0,54.0,9.0,2.0,10.001592105
ARG,03200019,ARG19,0320300,03203,2.0,50.0,50.0,9.0,1.0,6.4157234375
ARG,03200020,ARG17,0320000,03200,,,,,,29.126135584
ARG,03200021,ARG07,0320200,03202,5.0,49.0,51.0,4.0,1.0,6.4750346881
ARG,03200022,ARG06,0320000,03200,,,,,,44.575730689
ARG,03200023,ARG01,0320100,03201,5.0,51.0,49.0,3.0,1.0,2.5803316327
ARG,03200024,ARG19,0320300,03203,5.0,41.0,59.0,5.0,1.0,1.7622587983
ARG,03200025,ARG09,0320000,03200,4.0,76.0,24.0,9.0,1.0,23.132666116
ARG,03200026,ARG20,0320300,03203,4.0,86.0,14.0,4.0,2.0,7.4931818182
ARG,03200027,ARG07,0320200,03202,5.0,,,9.0,1.0,9.7955652974
ARG,03200028,ARG18,0320000,03200,2.0,44.0,56.0,4.0,2.0,75.555357143
ARG,03200029,ARG19,0320300,03203,,,,,,3.311341129
ARG,03200030,ARG03,0320000,03200,4.0,49.0,51.0,9.0,1.0,35.481552826
ARG,03200031,ARG07,0320200,03202,2.0,50.0,50.0,3.0,1.0,15.364657447
ARG,03200032,ARG01,0320100,03201,5.0,73.0,27.0,5.0,1.0,2.1988913043
ARG,03200033,ARG19,0320300,03203,4.0,48.0,52.0,,1.0,4.0654089109
ARG,03200034,ARG03,0320000,03200,4.0,43.0,57.0,9.0,2.0,18.450407469
ARG,03200035,ARG05,0320000,03200,1.0,50.0,50.0,2.0,1.0,109.54279277
ARG,03200036,ARG16,0320000,03200,6.0,55.0,45.0,2.0,2.0,160.65714286
ARG,03200037,ARG07,0320200,03202,5.0,47.0,53.0,5.0,1.0,6.2627384689
ARG,03200038,ARG01,0320100,03201,,,,,,3.5868439716
ARG,03200039,ARG19,0320300,03203,,,,,,6.6226822581
ARG,03200040,ARG08,0320200,03202,3.0,45.0,55.0,7.0,2.0,6.1798455285
ARG,03200041,ARG02,0320100,03201,6.0,44.0,56.0,9.0,2.0,5.8431651163
ARG,03200042,ARG19,0320300,03203,4.0,42.0,58.0,9.0,1.0,1.993234466
ARG,03200043,ARG20,0320300,03203,4.0,41.0,59.0,9.0,2.0,3.4632352941
ARG,03200044,ARG13,0320000,03200,3.0,48.0,52.0,4.0,1.0,185.247448
ARG,03200045,ARG08,0320200,03202,5.0,98.0,2.0,9.0,2.0,7.7563367347
ARG,03200046,ARG02,0320100,03201,5.0,48.0,52.0,9.0,2.0,6.203854321
ARG,03200047,ARG12,0320000,03200,4.0,50.0,50.0,6.0,2.0,18.820153061
ARG,03200048,ARG02,0320100,03201,4.0,55.0,45.0,3.0,2.0,28.714982857
ARG,03200049,ARG03,0320000,03200,,,,,,37.986133025
ARG,03200050,ARG02,0320100,03201,5.0,48.0,52.0,5.0,2.0,2.9911440476
ARG,03200051,ARG09,0320000,03200,3.0,48.0,52.0,6.0,1.0,41.776904478
ARG,03200052,ARG01,0320100,03201,5.0,76.0,24.0,9.0,1.0,2.7788186813
ARG,03200053,ARG07,0320200,03202,2.0,47.0,53.0,9.0,1.0,20.63254
ARG,03200054,ARG02,0320100,03201,5.0,43.0,57.0,9.0,2.0,10.691748936
ARG,03200055,ARG11,0320000,03200,3.0,47.0,53.0,3.0,1.0,55.52780387
ARG,03200056,ARG02,0320100,03201,5.0,45.0,55.0,4.0,2.0,8.9734321429
ARG,03200057,ARG13,0320000,03200,4.0,50.0,50.0,5.0,1.0,57.889827501
ARG,03200058,ARG12,0320000,03200,4.0,58.0,42.0,1.0,2.0,79.044642857
ARG,03200059,ARG02,0320100,03201,5.0,55.0,45.0,3.0,2.0,9.6636961538
ARG,03200060,ARG07,0320200,03202,1.0,55.0,45.0,4.0,1.0,20.63254
ARG,03200061,ARG01,0320100,03201,,,,,,2.0642653061
ARG,03200062,ARG03,0320000,03200,3.0,37.0,63.0,4.0,1.0,65.894312391
ARG,03200063,ARG01,0320100,03201,5.0,48.0,53.0,3.0,1.0,3.1807861635
ARG,03200064,ARG01,0320100,03201,5.0,41.0,59.0,9.0,1.0,2.5414321608
ARG,03200065,ARG07,0320200,03202,2.0,46.0,54.0,6.0,1.0,10.31627
ARG,03200066,ARG11,0320000,03200,3.0,44.0,56.0,,1.0,32.283606901
ARG,03200067,ARG19,0320300,03203,,,,,,11.731608571
ARG,03200068,ARG05,0320000,03200,3.0,47.0,53.0,9.0,1.0,46.756070084
ARG,03200069,ARG01,0320100,03201,5.0,100.0,,9.0,1.0,3.0651212121
ARG,03200070,ARG07,0320200,03202,5.0,53.0,47.0,5.0,1.0,16.978979849
ARG,03200071,ARG19,0320300,03203,2.0,51.0,49.0,9.0,1.0,6.31702
ARG,03200072,ARG07,0320200,03202,5.0,47.0,53.0,4.0,1.0,9.7586337838
ARG,03200073,ARG06,0320000,03200,4.0,43.0,57.0,5.0,2.0,64.602508244
ARG,03200074,ARG19,0320300,03203,4.0,52.0,48.0,4.0,1.0,4.0654089109
ARG,03200075,ARG03,0320000,03200,4.0,45.0,55.0,9.0,1.0,29.896493585
ARG,03200076,ARG05,0320000,03200,4.0,51.0,49.0,4.0,1.0,95.849943671
ARG,03200077,ARG01,0320100,03201,5.0,65.0,35.0,9.0,1.0,3.1027300613
ARG,03200078,ARG08,0320200,03202,2.0,47.0,53.0,2.0,2.0,21.717742857
ARG,03200079,ARG09,0320000,03200,3.0,56.0,44.0,9.0,1.0,19.993232857
ARG,03200080,ARG03,0320000,03200,,,,,,42.484490884
ARG,03200081,ARG05,0320000,03200,3.0,46.0,54.0,5.0,1.0,50.447338774
ARG,03200082,ARG01,0320100,03201,5.0,58.0,42.0,4.0,1.0,4.2859745763
ARG,03200083,ARG07,0320200,03202,1.0,53.0,47.0,4.0,1.0,20.63254
ARG,03200084,ARG15,0320000,03200,2.0,54.0,46.0,,1.0,17.019117647
ARG,03200085,ARG11,0320000,03200,3.0,48.0,52.0,9.0,1.0,38.10204026
ARG,03200086,ARG08,0320200,03202,2.0,47.0,53.0,4.0,2.0,21.717742857
ARG,03200087,ARG02,0320100,03201,5.0,,,,2.0,7.5001820896
ARG,03200088,ARG09,0320000,03200,3.0,59.0,41.0,4.0,1.0,35.43104557
ARG,03200089,ARG12,0320000,03200,1.0,54.0,46.0,9.0,2.0,79.044642857
ARG,03200090,ARG07,0320200,03202,2.0,,,9.0,1.0,20.63254
ARG,03200091,ARG02,0320100,03201,,,,,,12.256395122
ARG,03200092,ARG19,0320300,03203,3.0,81.0,19.0,9.0,1.0,2.094930102
ARG,03200093,ARG03,0320000,03200,3.0,50.0,50.0,5.0,1.0,32.614356638
ARG,03200094,ARG03,0320000,03200,6.0,,,5.0,1.0,50.450332924
ARG,03200095,ARG19,0320300,03203,2.0,58.0,42.0,9.0,1.0,2.0530315
ARG,03200096,ARG02,0320100,03201,6.0,44.0,56.0,7.0,2.0,14.357491429
ARG,03200097,ARG13,0320000,03200,2.0,,,2.0,1.0,92.623724002
ARG,03200098,ARG13,0320000,03200,3.0,,,,1.0,18.847850814
ARG,03200099,ARG05,0320000,03200,3.0,58.0,42.0,9.0,1.0,34.854524971
ARG,03200100,ARG08,0320200,03202,5.0,51.0,49.0,9.0,2.0,10.412616438
ARG,03200101,ARG14,0320000,03200,3.0,42.0,58.0,9.0,2.0,30.356770536
ARG,03200102,ARG03,0320000,03200,2.0,50.0,50.0,5.0,1.0,58.705841948
ARG,03200103,ARG04,0320000,03200,,,,,,43.824092358
ARG,03200104,ARG20,0320300,03203,2.0,49.0,51.0,6.0,2.0,10.303125
ARG,03200105,ARG03,0320000,03200,5.0,93.0,7.0,9.0,1.0,31.046358723
ARG,03200106,ARG19,0320300,03203,4.0,50.0,50.0,5.0,1.0,2.9971262774
ARG,03200107,ARG13,0320000,03200,,,,,,24.013558075
ARG,03200108,ARG05,0320000,03200,3.0,79.0,21.0,4.0,1.0,43.078626369
ARG,03200109,ARG19,0320300,03203,3.0,47.0,53.0,9.0,1.0,4.7744918605
ARG,03200110,ARG11,0320000,03200,3.0,45.0,55.0,9.0,1.0,22.511271839
ARG,03200111,ARG19,0320300,03203,,,,,,3.1829945736
ARG,03200112,ARG19,0320300,03203,4.0,40.0,60.0,1.0,1.0,5.7831873239
ARG,03200113,ARG03,0320000,03200,,,,,,17.35925434
ARG,03200114,ARG02,0320100,03201,5.0,50.0,50.0,9.0,2.0,6.5261324675
ARG,03200115,ARG13,0320000,03200,2.0,,100.0,6.0,1.0,92.623724002
ARG,03200116,ARG03,0320000,03200,4.0,53.0,47.0,9.0,1.0,25.62556593
ARG,03200117,ARG08,0320200,03202,2.0,41.0,59.0,6.0,1.0,14.076314815
ARG,03200118,ARG11,0320000,03200,1.0,65.0,35.0,1.0,1.0,167.64897714
ARG,03200119,ARG19,0320300,03203,2.0,60.0,40.0,5.0,1.0,4.7744918605
ARG,03200120,ARG07,0320200,03202,6.0,100.0,,8.0,1.0,12.323453116
ARG,03200121,ARG05,0320000,03200,3.0,53.0,47.0,9.0,1.0,13.175249989
ARG,03200122,ARG17,0320000,03200,4.0,46.0,54.0,9.0,1.0,41.38977162
ARG,03200123,ARG09,0320000,03200,5.0,95.0,5.0,5.0,1.0,31.807415909
ARG,03200124,ARG03,0320000,03200,4.0,51.0,49.0,,1.0,40.871155787
ARG,03200125,ARG04,0320000,03200,3.0,52.0,48.0,9.0,2.0,64.85965669
ARG,03200126,ARG19,0320300,03203,4.0,48.0,52.0,9.0,1.0,6.8434383333
ARG,03200127,ARG13,0320000,03200,1.0,47.0,53.0,1.0,1.0,185.247448
ARG,03200128,ARG17,0320000,03200,1.0,61.0,39.0,2.0,1.0,359.49973064
ARG,03200129,ARG07,0320200,03202,5.0,45.0,55.0,4.0,1.0,3.1185881355
ARG,03200130,ARG05,0320000,03200,4.0,49.0,51.0,9.0,1.0,16.9645918
ARG,03200131,ARG04,0320000,03200,,,,,,22.365398859
ARG,03200132,ARG01,0320100,03201,,,,,,5.1085353535
ARG,03200133,ARG02,0320100,03201,5.0,44.0,56.0,6.0,2.0,4.6528907407
ARG,03200134,ARG03,0320000,03200,3.0,50.0,50.0,7.0,1.0,8.8703882065
ARG,03200135,ARG19,0320300,03203,3.0,47.0,53.0,9.0,1.0,1.6039308594
ARG,03200136,ARG13,0320000,03200,4.0,41.0,59.0,9.0,1.0,22.357450621
ARG,03200137,ARG11,0320000,03200,4.0,46.0,54.0,9.0,1.0,67.170730488
ARG,03200138,ARG11,0320000,03200,1.0,52.0,48.0,1.0,1.0,237.9763023
ARG,03200139,ARG02,0320100,03201,,,,,,4.9265901961
ARG,03200140,ARG06,0320000,03200,3.0,45.0,55.0,9.0,2.0,74.292884481
ARG,03200141,ARG04,0320000,03200,4.0,47.0,53.0,9.0,2.0,51.475918008
ARG,03200142,ARG01,0320100,03201,,,,,,4.7711792453
ARG,03200143,ARG08,0320200,03202,5.0,52.0,48.0,5.0,2.0,9.8717012987
ARG,03200144,ARG11,0320000,03200,3.0,53.0,47.0,7.0,1.0,99.156792625
ARG,03200145,ARG11,0320000,03200,4.0,47.0,53.0,9.0,1.0,25.393812745
ARG,03200146,ARG01,0320100,03201,5.0,48.0,52.0,4.0,1.0,5.880755814
ARG,03200147,ARG20,0320300,03203,4.0,47.0,53.0,9.0,2.0,11.775
ARG,03200148,ARG17,0320000,03200,2.0,52.0,48.0,4.0,2.0,62.912452862
ARG,03200149,ARG02,0320100,03201,,,,,,4.2949760684
ARG,03200150,ARG19,0320300,03203,1.0,52.0,48.0,4.0,1.0,11.731608571
ARG,03200151,ARG09,0320000,03200,5.0,45.0,55.0,8.0,1.0,49.106185965
ARG,03200152,ARG17,0320000,03200,4.0,40.0,60.0,9.0,1.0,21.997361141
ARG,03200153,ARG07,0320200,03202,4.0,67.0,33.0,4.0,1.0,4.3241850299
ARG,03200154,ARG17,0320000,03200,1.0,46.0,54.0,3.0,1.0,179.74986532
ARG,03200155,ARG15,0320000,03200,4.0,59.0,41.0,3.0,1.0,90.930714286
ARG,03200156,ARG01,0320100,03201,5.0,48.0,52.0,9.0,1.0,7.4374264706
ARG,03200157,ARG09,0320000,03200,3.0,46.0,54.0,9.0,1.0,16.465015294
ARG,03200158,ARG19,0320300,03203,3.0,41.0,59.0,9.0,1.0,2.7557469799
ARG,03200159,ARG20,0320300,03203,5.0,46.0,54.0,9.0,2.0,4.7921511628
ARG,03200160,ARG03,0320000,03200,4.0,48.0,52.0,9.0,1.0,47.482666282
ARG,03200161,ARG08,0320200,03202,2.0,56.0,44.0,9.0,2.0,21.717742857
ARG,03200162,ARG02,0320100,03201,,,,,,5.1805381443
ARG,03200163,ARG19,0320300,03203,4.0,36.0,64.0,5.0,1.0,1.1218751366
ARG,03200164,ARG19,0320300,03203,,,,,,3.0415281481
ARG,03200165,ARG01,0320100,03201,5.0,55.0,45.0,4.0,1.0,1.4166526611
ARG,03200166,ARG19,0320300,03203,2.0,39.0,61.0,4.0,1.0,5.8658042857
ARG,03200167,ARG07,0320200,03202,5.0,46.0,54.0,9.0,1.0,5.5366238638
ARG,03200168,ARG08,0320200,03202,5.0,49.0,51.0,7.0,2.0,9.2697682927
ARG,03200169,ARG07,0320200,03202,4.0,40.0,60.0,9.0,1.0,5.0553274263
ARG,03200170,ARG12,0320000,03200,3.0,50.0,50.0,9.0,2.0,56.460459184
ARG,03200171,ARG01,0320100,03201,5.0,56.0,44.0,4.0,1.0,4.6398623853
ARG,03200172,ARG01,0320100,03201,,,,,,4.1797107438
ARG,03200173,ARG02,0320100,03201,5.0,43.0,57.0,5.0,2.0,14.357491429
ARG,03200174,ARG10,0320000,03200,5.0,51.0,49.0,9.0,2.0,39.952743902
ARG,03200175,ARG03,0320000,03200,4.0,49.0,51.0,9.0,1.0,22.422370189
ARG,03200176,ARG07,0320200,03202,2.0,46.0,54.0,9.0,1.0,9.4858391033
ARG,03200177,ARG14,0320000,03200,4.0,42.0,58.0,9.0,2.0,28.571078151
ARG,03200178,ARG02,0320100,03201,,,,,,1.053484696
ARG,03200179,ARG19,0320300,03203,3.0,48.0,52.0,5.0,1.0,2.2315559783
ARG,03200180,ARG19,0320300,03203,4.0,42.0,58.0,9.0,1.0,4.3221715789
ARG,03200181,ARG02,0320100,03201,2.0,50.0,50.0,9.0,2.0,5.025122
ARG,03200182,ARG05,0320000,03200,,,,,,109.54279277
ARG,03200183,ARG12,0320000,03200,2.0,51.0,49.0,9.0,2.0,41.291977612
ARG,03200184,ARG09,0320000,03200,2.0,42.0,58.0,9.0,1.0,28.273258586
ARG,03200185,ARG03,0320000,03200,3.0,64.0,36.0,5.0,1.0,24.460767478
ARG,03200186,ARG08,0320200,03202,,,,,,7.60121
ARG,03200187,ARG19,0320300,03203,2.0,49.0,51.0,9.0,1.0,2.891593662
ARG,03200188,ARG08,0320200,03202,5.0,49.0,51.0,3.0,2.0,11.016246377
ARG,03200189,ARG11,0320000,03200,5.0,40.0,60.0,9.0,1.0,43.837739897
ARG,03200190,ARG02,0320100,03201,,,,,,4.1529933884
ARG,03200191,ARG11,0320000,03200,4.0,42.0,58.0,9.0,1.0,84.991536536
ARG,03200192,ARG02,0320100,03201,,,,,,9.6636961538
ARG,03200193,ARG07,0320200,03202,3.0,52.0,48.0,4.0,1.0,7.9645252848
ARG,03200194,ARG03,0320000,03200,2.0,55.0,45.0,5.0,1.0,14.038353509
ARG,03200195,ARG19,0320300,03203,3.0,59.0,41.0,1.0,1.0,46.926434286
ARG,03200196,ARG11,0320000,03200,3.0,46.0,54.0,9.0,1.0,28.721277864
ARG,03200197,ARG11,0320000,03200,2.0,65.0,35.0,,1.0,335.29795429
ARG,03200198,ARG07,0320200,03202,5.0,49.0,51.0,9.0,1.0,8.3961988264
ARG,03200199,ARG19,0320300,03203,4.0,45.0,55.0,5.0,1.0,2.3598063218
ARG,03200200,ARG08,0320200,03202,5.0,48.0,52.0,5.0,2.0,14.34190566
