year,region,sector,subject,mean,se,n
2025,Argentina,all,math,366.814,2.662,11092
2025,Argentina,all,read,388.704,2.689,11092
2025,Argentina,all,scie,392.934,2.983,11092
2025,Argentina,Pública,math,349.011,3.327,7076
2025,Argentina,Pública,read,370.224,3.302,7076
2025,Argentina,Pública,scie,373.975,3.704,7076
2025,Argentina,Privada,math,407.449,5.194,3892
2025,Argentina,Privada,read,431.072,5.249,3892
2025,Argentina,Privada,scie,435.773,5.597,3892
2025,CABA,all,math,418.462,4.512,2276
2025,CABA,all,read,432.351,4.622,2276
2025,CABA,all,scie,448.983,4.87,2276
2025,CABA,Pública,math,388.715,7.328,1074
2025,CABA,Pública,read,407.182,7.528,1074
2025,CABA,Pública,scie,420.803,7.729,1074
2025,CABA,Privada,math,446.102,4.89,1202
2025,CABA,Privada,read,455.739,5.01,1202
2025,CABA,Privada,scie,475.169,5.78,1202
2025,Buenos Aires,all,math,364.095,4.203,1966
2025,Buenos Aires,all,read,388.674,4.649,1966
2025,Buenos Aires,all,scie,385.548,4.472,1966
2025,Buenos Aires,Pública,math,344.532,4.348,1292
2025,Buenos Aires,Pública,read,368.703,4.903,1292
2025,Buenos Aires,Pública,scie,364.253,4.881,1292
2025,Buenos Aires,Privada,math,404.637,9.579,674
2025,Buenos Aires,Privada,read,430.065,10.239,674
2025,Buenos Aires,Privada,scie,429.681,9.074,674
2025,Córdoba,all,math,393.119,4.809,2242
2025,Córdoba,all,read,416.712,4.892,2242
2025,Córdoba,all,scie,433.884,5.408,2242
2025,Córdoba,Pública,math,373.34,6.079,1418
2025,Córdoba,Pública,read,397.017,6.666,1418
2025,Córdoba,Pública,scie,412.11,7.13,1418
2025,Córdoba,Privada,math,427.056,7.466,824
2025,Córdoba,Privada,read,450.505,7.028,824
2025,Córdoba,Privada,scie,471.245,7.696,824
2025,Santa Fe,all,math,380.438,14.797,474
2025,Santa Fe,all,read,384.001,14.298,474
2025,Santa Fe,all,scie,407.175,15.787,474
2025,Santa Fe,Pública,math,377.509,20.658,317
2025,Santa Fe,Pública,read,372.419,19.288,317
2025,Santa Fe,Pública,scie,399.806,20.949,317
2025,Santa Fe,Privada,math,386.28,16.266,157
2025,Santa Fe,Privada,read,407.099,17.383,157
2025,Santa Fe,Privada,scie,421.871,22.103,157
2025,Mendoza,all,math,373.929,4.31,2078
2025,Mendoza,all,read,387.015,4.508,2078
2025,Mendoza,all,scie,404.753,4.937,2078
2025,Mendoza,Pública,math,362.096,4.698,1612
2025,Mendoza,Pública,read,375.687,5.234,1612
2025,Mendoza,Pública,scie,393.14,5.485,1612
2025,Mendoza,Privada,math,415.301,8.639,466
2025,Mendoza,Privada,read,426.619,6.694,466
2025,Mendoza,Privada,scie,445.355,9.235,466
2025,NOA,all,math,349.774,8.874,648
2025,NOA,all,read,374.037,7.407,648
2025,NOA,all,scie,386.21,10.177,648
2025,NOA,Pública,math,343.763,8.821,469
2025,NOA,Pública,read,363.154,8.139,469
2025,NOA,Pública,scie,376.881,9.478,469
2025,NOA,Privada,math,367.605,22.611,179
2025,NOA,Privada,read,406.322,16.138,179
2025,NOA,Privada,scie,413.882,27.464,179
2025,NEA,all,math,328.032,8.261,630
2025,NEA,all,read,357.146,7.996,630
2025,NEA,all,scie,345.851,10.443,630
2025,NEA,Pública,math,309.057,6.833,439
2025,NEA,Pública,read,336.438,7.05,439
2025,NEA,Pública,scie,329.89,9.712,439
2025,NEA,Privada,math,391.437,24.52,191
2025,NEA,Privada,read,426.339,22.464,191
2025,NEA,Privada,scie,399.184,29.263,191
2025,Cuyo,all,math,352.068,12.95,241
2025,Cuyo,all,read,370.932,12.953,241
2025,Cuyo,all,scie,398.685,12.649,241
2025,Cuyo,Pública,math,335.281,6.794,178
2025,Cuyo,Pública,read,353.527,7.546,178
2025,Cuyo,Pública,scie,384.315,8.627,178
