year,subject,mean,sd,n
2006,math,381.25,95.50,4339
2006,read,373.72,116.39,4339
2006,scie,391.24,97.23,4339
2009,math,388.07,88.98,4774
2009,read,398.26,104.83,4774
2009,scie,400.84,97.37,4774
2012,math,388.43,73.28,5908
2012,read,395.98,90.80,5908
2012,scie,405.63,81.44,5908
2018,math,379.45,76.27,11975
2018,read,401.50,92.91,11975
2018,scie,404.07,81.33,11975
2022,math,377.53,69.80,12111
2022,read,400.74,85.84,12111
2022,scie,406.19,79.74,12111
2025,math,366.81,74.49,11092
2025,read,388.70,83.37,11092
2025,scie,392.93,86.05,11092
