year,school_id,region,sector,n_stu,n_escs,w_sum,escs,math,read,scie,sd_escs,sd_math,sd_read,sd_scie
2006,1,Buenos Aires,Pública,34,34,3210.61890,-0.82313,372.19582,385.01530,382.79309,0.78161,64.10251,70.71207,58.06371
2006,2,Mendoza,Pública,31,31,2763.14250,-1.62209,357.95502,403.24456,414.39813,1.07338,68.04652,83.45380,61.78555
2006,3,NOA,Pública,29,29,3327.70110,-0.08417,409.16792,354.31923,431.33477,1.08825,63.70484,96.10472,81.60720
2006,4,Buenos Aires,Pública,24,20,2746.04460,-0.19911,447.17366,442.85750,459.26840,0.80659,65.43925,103.24393,68.82370
2006,5,,Pública,13,13,1818.24440,-1.54153,221.68073,228.77408,325.67809,0.71066,43.36976,98.08048,48.16105
2006,6,,Pública,5,4,3713.55680,-0.68503,327.25638,202.24213,271.24942,0.98570,44.16434,68.07349,79.94072
2006,7,NEA,Privada,33,33,4698.46860,0.01463,422.79060,455.03660,455.20484,0.87503,57.83368,67.62182,61.00481
2006,8,,Pública,17,17,2863.00450,-0.87368,298.20383,328.87468,321.84286,0.87911,75.95035,86.60514,60.79883
2006,9,Buenos Aires,Pública,26,26,4546.29160,-1.47734,320.82943,337.16927,336.69818,0.72354,56.88701,62.71200,65.88112
2006,10,Buenos Aires,Pública,15,14,1644.78750,-1.24001,181.46255,243.97387,247.90541,0.68266,48.81795,74.66693,40.97382
2006,11,Córdoba,Pública,27,27,1684.57330,-0.53911,397.28814,456.59954,421.24784,0.77543,65.34905,80.10770,81.73501
2006,12,,Pública,3,3,353.70320,-0.78902,290.37397,235.96958,331.38478,1.15943,44.22400,93.68114,132.83931
2006,13,,Pública,7,7,4655.87300,-0.95920,264.29321,246.80469,285.76596,0.56670,79.96143,121.67422,68.54690
2006,14,Buenos Aires,Privada,29,29,4153.07730,-0.73610,391.88884,416.98986,420.23211,1.15529,54.64841,64.51155,48.52118
2006,15,Córdoba,Privada,30,30,3459.03640,-0.28131,422.82343,435.15391,446.82981,0.92025,59.75407,64.02390,64.78987
2006,16,Santa Fe,Privada,35,35,2498.56970,-0.01796,451.03193,442.64353,447.79594,0.64541,42.07619,72.83278,63.79765
2006,17,Buenos Aires,Privada,33,33,3891.46890,0.44137,510.34691,468.46109,500.40758,0.73790,76.05397,82.60447,70.74309
2006,18,NOA,Pública,34,34,4080.67660,-1.09784,288.25007,321.45966,341.41414,0.87323,67.42031,91.62322,65.43189
2006,19,CABA,Pública,31,28,2507.22300,-1.29416,291.62753,180.21736,287.89066,0.75905,52.00153,83.13161,56.62522
2006,20,NOA,Pública,27,27,2231.19550,-0.82375,387.44770,384.24102,392.65328,1.05639,54.81820,69.99628,71.24308
2006,21,,Privada,19,19,8217.66180,0.92556,408.32392,391.03414,424.58220,0.61367,64.23005,132.37779,78.68595
2006,22,,Pública,31,31,11958.34460,-1.42347,320.46919,321.01119,351.63340,0.74131,56.23321,71.85936,68.95599
2006,23,Mendoza,Privada,34,34,3518.84280,-0.59049,459.31576,420.64076,429.01927,1.00495,62.71506,74.43711,65.18377
2006,24,Buenos Aires,Privada,34,33,2849.13360,-0.24113,449.04349,462.28701,446.01545,0.96451,48.44110,90.51618,81.00701
2006,25,Buenos Aires,Pública,31,31,3708.88330,-0.40154,427.40498,387.76737,435.43993,0.92523,70.48817,68.01596,65.66365
2006,26,Buenos Aires,Pública,23,23,3277.11170,-0.82551,342.50159,305.91182,354.92053,0.87125,55.70469,85.82514,50.76395
2006,27,,Pública,19,19,2254.22140,-1.44067,317.50265,311.22327,309.97680,0.83212,60.72678,88.05313,58.77938
2006,28,Buenos Aires,Pública,27,26,3722.22410,-0.66373,456.36889,387.68103,423.91447,0.81333,69.48499,87.93430,86.77203
2006,29,Patagonia,Pública,32,32,2572.09400,-1.26364,381.66937,386.10020,382.38783,0.85096,69.05082,78.65751,49.01622
2006,30,Patagonia,Pública,27,27,1384.84470,-0.94518,345.46322,311.81220,361.95286,0.93405,52.31753,77.73793,66.88416
2006,31,NOA,Pública,27,27,2041.79750,-0.40686,359.19166,367.40230,394.49806,0.72640,48.58213,82.16325,74.42313
2006,32,Patagonia,Pública,13,13,153.15560,-0.61280,458.47127,425.67777,417.84548,0.78213,54.63986,76.05324,77.97403
2006,33,,Privada,8,8,4447.05020,-1.39748,345.92658,217.64464,302.21158,1.00696,48.07813,43.31411,37.82771
2006,34,Buenos Aires,Pública,35,35,3830.98190,-0.66897,403.29480,378.53544,378.20660,0.86060,62.88233,68.58853,65.43338
2006,35,,Pública,9,9,4274.20930,-1.74217,298.26507,298.57909,331.36037,0.89341,58.57219,71.38884,74.55821
2006,36,NOA,Pública,33,33,1103.53190,-1.18724,336.85693,298.36778,374.06497,0.95098,51.90150,75.42769,52.97085
2006,37,NEA,Pública,26,26,1614.98170,-0.97201,329.40591,265.97871,330.43181,1.04175,80.13631,123.14734,92.55217
2006,38,,Pública,11,11,1425.90200,-2.01078,316.47817,305.73972,308.50373,0.91864,55.97776,108.24031,57.01661
2006,39,,Pública,8,8,3755.47000,-0.59469,250.12966,292.87282,264.01381,0.94332,51.28664,64.09737,48.62196
2006,40,NOA,Pública,34,34,3357.69010,-1.46463,342.69739,355.44285,352.79064,1.15626,55.97523,71.29809,69.94049
2006,41,Mendoza,Pública,33,33,3954.87800,-1.76143,364.64225,376.43624,378.28381,1.04598,64.17943,72.74869,62.17134
2006,42,Santa Fe,Privada,34,33,5683.98630,-0.90418,349.09627,386.93259,366.51514,0.95833,67.16607,82.16401,61.53917
2006,43,Córdoba,Pública,29,29,2501.73800,-0.46983,432.04054,437.74410,433.34418,1.10091,56.99731,85.44903,70.19675
2006,44,Buenos Aires,Pública,22,19,1261.10060,-1.10389,357.54732,278.96043,298.63559,1.39195,63.50230,87.10450,73.57113
2006,45,,Pública,2,2,867.09640,-3.31500,305.49150,268.82192,345.75215,0.78970,46.37667,20.87164,23.93470
2006,46,Patagonia,Pública,30,30,2904.07700,-0.53931,423.29409,424.31222,414.32002,1.02212,71.45906,79.38344,72.84720
2006,47,,Pública,2,2,979.63720,-1.46197,265.16520,216.14112,257.68753,1.32894,101.89653,26.55674,0.98902
2006,48,NOA,Pública,5,5,137.32810,-0.54779,305.03977,302.90918,353.96963,0.95361,75.42289,130.27803,81.50389
2006,49,NEA,Pública,21,21,1893.63560,-1.49087,356.98573,269.27294,365.31208,1.18068,67.86173,74.52819,81.96908
2006,50,Córdoba,Pública,31,31,2481.22770,-0.72389,397.77053,382.73219,400.66868,0.97134,84.59213,86.06962,86.99355
2006,51,Córdoba,Pública,30,30,3635.57210,-0.44721,441.06804,359.32209,460.53855,1.00089,76.01173,98.52486,68.93113
2006,52,CABA,Privada,31,31,3405.70480,0.07643,433.03671,446.74505,450.26036,0.93364,67.88615,85.19349,60.38813
2006,53,Patagonia,Pública,23,23,5242.77800,-0.72207,363.52879,395.80435,393.36740,1.01693,62.85713,110.43375,63.19330
2006,54,,Privada,31,31,3507.88530,0.58799,486.88649,507.14671,500.79991,0.75378,106.31367,108.94090,73.39793
2006,55,Buenos Aires,Pública,29,29,2591.48880,-0.82900,407.03992,410.99866,389.86085,1.23600,61.76397,92.88724,78.80015
2006,56,NEA,Pública,21,21,3286.81890,-1.52469,280.80778,269.25885,321.52549,0.95570,53.84985,106.86796,83.84170
2006,57,,Pública,29,29,1941.31890,-0.53856,355.72884,329.87400,347.45253,0.69512,69.77243,95.99911,62.48518
2006,58,,Privada,18,18,2141.61460,0.64428,445.51706,461.89817,419.65219,0.78605,44.11070,59.79080,50.89066
2006,59,Patagonia,Pública,33,32,1310.09840,-0.43228,424.36496,396.47195,436.48685,1.08725,70.57405,85.40113,75.51831
2006,60,NEA,Pública,32,32,3385.19640,-0.71822,342.08538,386.35061,367.37811,1.16460,60.16729,82.01580,66.84963
2006,61,NEA,Pública,35,35,4134.80860,-1.40104,328.16386,337.56177,339.69595,1.31877,66.54963,99.87020,77.12640
2006,62,Córdoba,Pública,30,30,2466.75620,-1.85101,366.44882,361.53002,333.45942,0.69752,68.17602,83.00983,79.75245
2006,63,,Pública,28,28,1499.55500,-1.19887,328.06823,326.50015,348.88354,1.03725,61.23587,86.69211,64.03146
2006,64,CABA,Privada,35,35,4092.81910,0.43960,493.91615,497.32941,507.44664,0.72872,67.87129,67.56520,57.91735
2006,65,Buenos Aires,Pública,11,10,1463.12350,-1.47076,303.82814,357.95477,302.52504,0.98908,61.17427,95.05432,91.15062
2006,66,Santa Fe,Pública,35,35,4694.61520,0.00542,454.82959,465.51223,455.75299,0.88387,66.91372,70.74725,69.19413
2006,67,Patagonia,Pública,26,26,551.82210,-0.18206,388.95954,432.71043,411.41980,0.84437,75.34866,102.52844,88.74932
2006,68,Buenos Aires,Pública,25,25,3015.93640,-0.99880,338.69616,329.47763,372.06983,1.05337,65.21750,104.99391,71.15376
2006,69,NEA,Privada,33,33,4103.26400,0.49597,445.21846,439.59864,470.57753,0.84371,47.55323,75.40702,61.07832
2006,70,Buenos Aires,Pública,31,31,3626.01420,-1.09220,388.10055,395.77827,411.27462,1.09322,73.83105,87.67831,67.33540
2006,71,,Pública,17,16,7565.27590,-1.46555,240.63493,172.10333,237.24591,0.94358,49.14500,87.05896,71.97470
2006,72,,Pública,11,11,1380.84120,-1.80539,273.66082,295.30916,284.06708,1.03342,48.97866,67.19734,60.27557
2006,73,NEA,Pública,22,22,2781.23140,-1.44506,201.74161,154.42699,194.11145,0.93231,54.69231,83.73645,73.16762
2006,74,,Privada,35,34,4062.98250,0.65031,438.14963,485.45875,467.79736,0.56415,68.70509,70.08405,64.76475
2006,75,Buenos Aires,Privada,30,29,4822.09640,-1.22994,313.03149,336.38970,317.21491,0.76858,63.37438,62.85128,62.35629
2006,76,Buenos Aires,Pública,30,30,3422.61840,-0.37361,434.99185,462.13912,464.91649,0.94026,53.84469,69.54294,63.37025
2006,77,,Pública,3,3,1495.36460,-2.88073,217.76921,241.63291,268.15854,0.18063,24.59484,35.31981,43.27085
2006,78,Buenos Aires,Pública,26,26,2887.96760,-0.51838,454.53770,459.53661,478.23507,0.86466,64.06810,76.63341,60.50627
2006,79,Buenos Aires,Privada,32,30,3409.64640,0.06209,444.51744,464.94554,477.00987,1.04570,64.24680,71.13361,75.07446
2006,80,,Privada,26,26,2934.12650,1.07370,462.57843,472.88715,485.21042,0.72792,62.98656,48.36310,71.50960
2006,81,,Pública,6,6,709.13580,-0.51035,316.48751,324.68922,371.00665,1.50738,70.31638,88.25778,70.33935
2006,82,Buenos Aires,Pública,21,21,1640.00000,-1.04238,423.81735,371.01812,403.64322,1.18339,38.29721,73.37726,48.87821
2006,83,CABA,Privada,33,33,2657.97390,0.55243,485.28287,529.86869,521.01631,0.76949,55.18358,71.47256,61.33547
2006,84,CABA,Pública,33,33,2912.66580,-0.33253,414.09867,470.12457,430.03918,1.00319,81.19130,82.31367,74.13246
2006,85,Buenos Aires,Pública,28,27,3187.38960,-1.49423,365.67426,415.25055,355.65368,1.00642,62.31315,52.73974,56.30001
2006,86,,Pública,5,5,2381.43840,-2.00914,274.13381,289.10975,255.23240,0.61010,38.96757,71.91872,45.19794
2006,87,,Privada,31,31,3282.67990,0.11143,406.16793,338.74613,411.15315,0.85346,70.16745,85.29348,57.47803
2006,88,NOA,Pública,32,32,3497.49620,-0.40636,403.77932,354.91056,407.00245,0.89176,69.47444,107.06884,76.26934
2006,89,NEA,Pública,29,28,2815.34460,-0.89877,315.57595,311.10912,338.12645,0.68493,71.45296,59.48871,59.80336
2006,90,NOA,Pública,32,32,2725.61670,-0.77799,413.57264,377.17062,419.53454,0.82418,48.62448,71.57238,55.84218
2006,91,Buenos Aires,Pública,22,22,2711.34340,-1.39324,333.79524,318.19038,337.80463,0.72889,55.98833,69.44614,59.65009
2006,92,Buenos Aires,Pública,30,30,3742.61520,-0.36529,415.32251,429.38918,436.81826,1.07126,75.79219,90.94055,83.83122
2006,93,,Pública,6,6,802.11000,-1.55143,288.82618,343.38775,346.75816,0.63565,65.22466,65.33790,52.21950
2006,94,,Pública,20,19,2389.79870,-1.11887,320.31435,352.58916,337.18585,1.22682,83.55688,97.52413,99.36983
2006,95,NOA,Pública,31,28,2178.73060,-1.33609,291.44905,321.30822,338.86343,0.92265,48.88105,71.11116,46.66949
2006,96,Buenos Aires,Privada,34,34,3537.62520,0.18387,479.07165,461.16032,449.64940,0.99768,50.60598,63.55947,50.94574
2006,97,Córdoba,Privada,32,32,3612.75420,0.72202,479.92668,465.06993,499.98472,0.66875,53.07202,61.93841,53.49559
2006,98,Buenos Aires,Pública,11,10,1306.67650,-1.82971,292.06607,225.23455,205.98174,1.20412,53.84977,97.67134,57.69404
2006,99,CABA,Pública,25,25,1685.22780,0.13207,394.42042,411.15561,401.74107,0.95618,54.86394,75.41169,79.00399
2006,100,Buenos Aires,Privada,21,21,2643.66510,-1.06558,360.93880,348.92652,367.51506,0.95685,35.75871,86.78626,43.03200
2006,101,Mendoza,Pública,24,24,2037.40090,-1.41868,363.53708,371.43131,373.58996,0.83432,66.20846,94.24355,60.91003
2006,102,,Pública,12,12,1400.22140,-1.86434,313.42440,254.12132,296.23795,0.95350,55.91806,62.59286,52.23919
2006,103,Buenos Aires,Pública,17,17,1363.69820,-0.60480,356.27392,291.29337,358.67226,0.89849,57.21034,72.15087,82.31086
2006,104,,Pública,20,20,2621.20120,-1.72432,182.41356,200.67303,288.62279,1.15526,67.67467,89.86133,83.08669
2006,105,,Privada,31,31,13903.99190,-0.03095,470.75588,459.01039,481.42515,0.77213,55.88516,55.02953,60.17522
2006,106,,Pública,9,9,1455.07290,-1.53556,393.70057,389.97620,362.02649,0.65554,51.10804,56.19249,56.55471
2006,107,Patagonia,Pública,23,20,4093.31760,-0.33030,435.11923,402.34078,435.85860,1.09610,69.76738,74.00987,48.85316
2006,108,Buenos Aires,Privada,28,28,2729.75150,0.18485,452.38606,441.52399,461.93428,0.75366,51.69337,79.42783,65.99583
2006,109,,Pública,7,7,3392.02820,-0.02132,267.30451,118.65345,200.47124,0.73668,81.16039,49.62881,44.27660
2006,110,Buenos Aires,Privada,32,32,3224.48380,0.32669,490.61623,485.01331,497.17863,0.81530,68.33578,74.21300,75.98467
2006,111,,Pública,4,4,690.75040,-0.87498,321.74627,303.73542,329.99627,0.55812,49.16396,79.68692,53.23543
2006,112,Buenos Aires,Pública,31,31,3619.87370,-1.31278,384.02513,359.64520,382.70976,0.89164,62.65472,84.27038,70.66876
2006,113,NOA,Pública,32,32,2520.45440,0.42830,451.17870,430.79238,450.04652,0.78742,55.59274,86.58024,68.77934
2006,114,Santa Fe,Pública,31,31,4136.10010,-0.24172,442.06363,415.73667,444.43328,0.87636,79.50330,90.65739,72.55048
2006,115,Santa Fe,Pública,29,29,2962.21890,-0.54244,446.97197,440.98514,435.90852,0.98368,70.99244,96.83058,94.64004
2006,116,Buenos Aires,Pública,26,25,5021.78980,-1.17324,398.08722,288.53027,374.26789,0.93802,54.34623,84.63827,62.61727
2006,117,NEA,Pública,25,25,2433.49080,-0.73121,336.04233,336.46670,363.98218,1.10100,52.50100,90.03074,80.58324
2006,118,,Pública,20,20,2447.33150,-1.29676,333.61017,279.75473,315.84887,1.07580,59.75877,69.55048,75.56551
2006,119,Patagonia,Pública,32,32,2667.51030,-1.62843,339.44691,371.13072,355.44643,1.02424,62.61076,84.95867,77.64582
2006,120,NEA,Pública,27,27,2494.15330,-1.58511,322.79816,318.03615,322.46183,0.91147,62.88667,103.24138,81.51491
2006,121,Santa Fe,Pública,30,29,4660.62300,-1.03223,345.15426,368.16326,356.11480,0.66594,51.98045,73.56951,64.72769
2006,122,,Pública,7,6,1202.20550,-1.15206,267.64629,250.92914,260.65222,1.00919,58.22008,61.09087,59.94034
2006,123,CABA,Pública,31,31,3620.94580,-0.65723,383.51513,337.66722,381.85781,1.00851,62.93299,75.33387,73.18534
2006,124,Santa Fe,Pública,33,33,6096.21950,-0.88801,395.88292,419.67318,405.16416,0.90497,57.70361,71.57029,60.00920
2006,125,NOA,Pública,32,31,3161.66510,-1.11017,360.90198,341.59114,364.88163,0.98975,62.39207,82.61101,52.38767
2006,126,,Privada,30,30,3262.57560,0.67824,451.89360,482.25947,450.52558,0.78463,62.58301,73.13117,62.93170
2006,127,Córdoba,Privada,27,27,2364.89700,0.04640,399.38283,433.37431,432.11580,0.87164,75.20572,81.49338,86.96809
2006,128,,Privada,14,14,1571.19780,-0.19405,452.29712,444.34404,470.43353,1.06390,86.14355,77.17378,90.05574
2006,129,,Pública,28,28,3090.09620,-0.46881,432.74133,434.87295,395.72412,1.10833,60.92923,102.92791,69.43996
2006,130,Córdoba,Pública,35,35,5144.93610,-0.99347,348.22188,372.90847,374.45809,1.06796,68.01750,77.66669,66.08039
2006,131,NOA,Privada,34,34,2482.37480,0.15235,359.93303,400.07735,378.80439,0.95654,65.41414,79.26069,74.64138
2006,132,Buenos Aires,Privada,32,32,3468.25430,-0.70060,426.35336,425.92663,410.97616,0.87766,46.71014,92.40222,71.45541
2006,133,NOA,Pública,29,29,1630.53260,-1.06851,332.51387,295.91556,320.12785,0.89917,58.90476,80.96459,70.13250
2006,134,Buenos Aires,Privada,33,33,3788.85570,0.32162,440.21081,472.40608,470.16696,1.05464,62.62626,80.54620,69.53312
2006,135,Buenos Aires,Pública,31,29,4234.64930,-0.79179,388.32494,426.00198,410.25671,0.96840,53.42450,65.00852,56.48728
2006,136,,Pública,7,5,1175.77470,-1.25802,310.54394,297.29191,333.58879,0.87183,54.93683,95.42397,69.22235
2006,137,Patagonia,Pública,28,28,1354.43700,-0.89724,340.93492,362.35825,351.76030,0.98803,40.08540,65.53508,56.09240
2006,138,Mendoza,Pública,26,26,2804.86110,-1.42150,299.93834,299.10013,321.77997,0.81252,72.93829,76.02541,52.40710
2006,139,NOA,Pública,31,31,1606.33230,-1.21282,299.27037,245.80944,289.04673,0.74753,54.04344,58.59516,55.45310
2006,140,Córdoba,Privada,34,34,3475.94880,1.27159,510.17775,536.69320,531.87275,0.44745,58.49812,52.80252,55.03232
2006,141,NOA,Pública,33,33,3577.78190,-1.37091,291.85142,318.07724,340.52899,0.83185,61.47326,75.51394,57.87166
2006,142,Patagonia,Pública,29,27,1201.90790,-1.11094,348.82430,349.14449,339.72067,0.74536,61.47991,95.94894,66.56615
2006,143,Buenos Aires,Privada,30,30,3374.41910,-0.61310,385.04450,340.68567,382.02892,0.87240,55.04368,86.18619,79.82065
2006,144,Buenos Aires,Pública,27,27,2491.22520,-1.46610,349.78632,373.50635,370.75358,0.64568,69.12284,72.09846,59.58520
2006,145,,Privada,3,3,1304.42520,-2.03297,368.17002,245.56127,336.97135,0.40680,67.81369,44.20765,107.55932
2006,146,Santa Fe,Privada,25,25,2821.07860,-0.82835,358.41256,355.86729,412.87006,1.06663,67.37371,83.50909,56.55379
2006,147,,Privada,22,22,2412.70300,0.48915,396.40264,357.35816,426.64239,0.63370,66.08831,75.59498,84.19694
2006,148,Buenos Aires,Pública,14,13,2175.38020,-0.79622,315.96974,291.14742,352.54676,0.69272,89.02819,115.28971,82.72647
2006,149,CABA,Pública,30,30,2344.49670,-0.65429,460.77541,374.21956,453.35884,0.88327,53.85483,93.68612,62.30630
2006,150,NEA,Privada,24,24,2248.56390,-0.31010,355.18993,431.12520,391.42044,0.95498,57.24036,70.17226,63.31279
2006,151,Cuyo,Pública,29,29,2321.66180,-0.80058,347.27982,343.92860,342.07646,0.81411,58.48501,60.72131,58.51388
2006,152,Buenos Aires,Pública,18,18,2846.23250,-1.16637,299.73084,158.19124,267.72727,0.85497,38.60748,74.84591,41.00833
2006,153,Cuyo,Pública,30,29,2258.95740,-0.49960,369.46052,370.00275,415.46147,0.72948,55.55638,67.08566,60.94404
2006,154,Buenos Aires,Privada,29,29,3428.73130,0.01556,438.19680,423.91599,473.93557,0.78578,61.17479,77.69604,72.67689
2006,155,Buenos Aires,Privada,33,33,4218.84450,-0.48155,417.63866,443.67560,421.35525,0.89250,50.08255,75.05308,54.58147
2006,156,,Pública,26,26,764.32070,-0.65625,338.31147,298.04741,325.75337,0.87992,62.41977,66.62648,53.44296
2006,157,Buenos Aires,Pública,20,20,3141.69680,-1.08984,420.64306,397.65114,426.91536,0.96979,53.10177,76.28538,57.31301
2006,158,,Pública,8,8,4022.87780,-1.65296,171.50895,188.80153,245.82612,1.14266,71.51493,133.66068,87.69864
2006,159,,Privada,17,17,7343.87120,0.95726,539.49535,513.79883,512.87927,0.67190,55.47459,60.64501,60.08809
2006,160,Buenos Aires,Privada,33,33,4025.35150,-0.04940,435.50308,475.67928,482.04079,0.86757,58.03491,66.04060,58.65390
