year,scope,subject,slope,intercept,r,n_schools,x_min,x_max
2006,ARG,math,68.46348,434.14758,0.79412,133,-1.86434,1.27159
2006,ARG,read,72.31015,432.90002,0.74596,133,-1.86434,1.27159
2006,ARG,scie,68.23115,444.34029,0.81340,133,-1.86434,1.27159
2006,OCDE,math,71.84361,491.10025,0.76571,1074,-3.12953,1.28159
2006,OCDE,read,61.72318,492.61982,0.64177,1074,-3.12953,1.28159
2006,OCDE,scie,74.61940,498.46212,0.77281,1074,-3.12953,1.28159
2009,ARG,math,61.57217,431.99040,0.80179,136,-2.21411,1.61936
2009,ARG,read,69.11441,449.40658,0.82015,136,-2.21411,1.61936
2009,ARG,scie,64.05243,448.23870,0.80643,136,-2.21411,1.61936
2009,OCDE,math,63.19777,499.05230,0.78498,1379,-3.16562,1.71097
2009,OCDE,read,64.42100,501.72319,0.79379,1379,-3.16562,1.71097
2009,OCDE,scie,69.15268,507.54149,0.80146,1379,-3.16562,1.71097
2012,ARG,math,56.21511,432.81207,0.75670,204,-2.69539,1.08500
2012,ARG,read,67.78883,449.39855,0.73037,204,-2.69539,1.08500
2012,ARG,scie,61.44130,454.03539,0.72626,204,-2.69539,1.08500
2012,OCDE,math,63.92716,496.48283,0.74612,1332,-3.40000,1.23842
2012,OCDE,read,64.01990,504.50737,0.74087,1332,-3.40000,1.23842
2012,OCDE,scie,66.50368,506.64863,0.75683,1332,-3.40000,1.23842
2018,ARG,math,63.53880,440.79347,0.87940,434,-3.27279,0.96463
2018,ARG,read,70.67478,469.60250,0.85214,434,-3.27279,0.96463
2018,ARG,scie,64.03385,465.91795,0.85924,434,-3.27279,0.96463
2018,OCDE,math,58.77426,493.35995,0.70886,9810,-3.55338,2.25055
2018,OCDE,read,59.91795,500.50414,0.71884,9810,-3.55338,2.25055
2018,OCDE,scie,57.40442,501.62074,0.70779,9810,-3.55338,2.25055
2022,ARG,math,54.50392,421.39888,0.81776,444,-2.90468,1.12702
2022,ARG,read,62.02942,450.78982,0.81253,444,-2.90468,1.12702
2022,ARG,scie,56.71128,451.93126,0.81233,444,-2.90468,1.12702
2022,OCDE,math,66.02160,479.70692,0.71912,8781,-2.87336,1.58301
2022,OCDE,read,66.40944,494.01718,0.74313,8781,-2.87336,1.58301
2022,OCDE,scie,66.27674,499.78651,0.72109,8781,-2.87336,1.58301
2025,ARG,math,66.00727,409.89887,0.76492,394,-2.07762,1.28402
2025,ARG,read,63.70346,430.14645,0.75982,394,-2.07762,1.28402
2025,ARG,scie,69.26381,438.20678,0.72403,394,-2.07762,1.28402
2025,OCDE,math,66.34433,471.89576,0.67627,9194,-3.05432,1.53885
2025,OCDE,read,64.25801,479.41032,0.68263,9194,-3.05432,1.53885
2025,OCDE,scie,66.64798,497.18159,0.68749,9194,-3.05432,1.53885
